Name of the city,|1993_Q1 num of people|,|1993_Q1 total price|,|1993_Q2 num of people|,|1993_Q2 total price|,|1993_Q3 num of people|,|1993_Q3 total price|,|1993_Q4 num of people|,|1993_Q4 total price|,|2015_Q1 num of people|,|2015_Q1 total price|,|2015_Q2 num of people|,|2015_Q2 total price|,|2015_Q3 num of people|,|2015_Q3 total price|,|2015_Q4 num of people|,|2015_Q4 total price|,
Lompoc, CA: Lompoc Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
St. Louis, MO: Lambert-St. Louis International,88260.0,5630567.399999995,110099.0,6442239.559999993,109355.0,6253144.469999999,108439.0,6563362.039999989,102390.0,13136089.530000003,123213.0,16545036.479999993,122399.0,15929711.99999999,121948.0,15011799.33,
Renton, WA: Renton Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rocky Mount, NC: Rocky Mount-Wilson Regional,203.0,38279.29999999999,97.0,19758.529999999995,225.0,38832.979999999996,232.0,48241.27000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Salmon Bay Lake, AK: Salmon Bay Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cherry Point, NC: Cherry Point MCAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Snyder, TX: Winston Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Indianapolis, IN: Indianapolis International,49396.0,4209822.419999999,59053.0,5004405.809999998,56806.0,4954474.940000002,59073.0,5097575.429999993,73926.0,11811006.279999997,88991.0,14594009.55,85163.0,13228355.179999996,92918.0,13534117.65000001,
Magwe, Burma: Magway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lanzhou, China: Zhongchuan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Iqaluit, Canada: Iqaluit Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cilacap, Indonesia: Tunggul Wulung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashburton, New Zealand: Ashburton Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bandar Lampung, Indonesia: Branti,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Port Gentil, Gabon: Port Gentil Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Manihi, French Polynesia: Manihi Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cayman Brac, Cayman Islands: Charles Kirkconnell International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Luzon Island, Philippines: Diosdado Macapagal International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Grande Prairie, Canada: Grande Prairie Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Simpson, AK: Cape Simpson No. 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lyneham, United Kingdom: RAF Lyneham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pedro Bay, AK: Pedro Bay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elkins, WV: Elkins-Randolph County-Jennings Randolph Field,1.0,142.91,3.0,1284.1100000000001,5.0,1544.07,3.0,1061.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Monte Caseros, Argentina: Monte Caseros Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bisha, Saudi Arabia: Bisha Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charlotte, NC: Charlotte Douglas International,33775.0,3741166.2399999993,42463.0,4461187.559999999,45354.0,4116122.389999999,43229.0,4303205.420000001,113201.0,19854541.850000013,138857.0,24220303.17999999,137030.0,22377855.310000002,146171.0,20723550.169999998,
Roseires, Sudan: Roseires Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maracay, Venezuela: Maracay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Coldfoot, AK: Coldfoot Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sturgis, MI: Sturgis Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charles City, IA: Northeast Iowa Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bahir Dar, Ethiopia: Bahir Dar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lubbock, TX: Lubbock Preston Smith International,12282.0,408681.56999999995,14468.0,530490.8000000002,14096.0,498224.93999999994,13914.0,551586.5699999998,9173.0,1524955.01,11058.0,1918264.2399999998,10872.0,1893185.95,11488.0,1842748.5700000008,
Dallas, TX: Addison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Teptep, Papua New Guinea: Teptep Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jodhpur, India: Jodhpur Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Campina Grande, Brazil: Presidente Joao Suassuna,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nekempte, Ethiopia: Nekempte Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Inuvik, Canada: Inuvik Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cortland, NY: Cortland County Chase Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dallas/Fort Worth, TX: Greater Southwest International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Spencer, AK: Cape Spencer C.G. Helipad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Polson, MT: Polson Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Crisciuma, Brazil: Criciuma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ciudad Guayana, Venezuela: Ciudad Guayana Metropolitan Area,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yengema, Sierra Leone: Yengema Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Village Islands, AK: Village Islands Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Enugu, Nigeria: Enugu Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lost Harbor, AK: Lost Harbor Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Concord, NH: Concord Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dallas/Fort Worth, TX: Dallas Executive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lexington, KY: Blue Grass Station AHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tuy Hoa, Vietnam: Tuy Hoa Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Austin, TX: Robert Mueller Municipal,46270.0,3271406.5699999966,56013.0,4012268.8899999997,52914.0,3761407.6699999976,55848.0,4640628.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Istres, France: Istres Le Tube,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kagoshima, Japan: Kagoshima Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dourados, Brazil: Dourados Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mueo, New Caledonia: Mueo Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kangnung, South Korea: Kangung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fairmount Island, AK: Fairmount Island Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Val d'Or, Canada: Val d'Or Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Posadas, Argentina: Posadas Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dakar, Senegal: Leopold Sedar Senghor International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tampere, Finland: Tampere-Pirkkala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Queenstown, South Africa: Queenstown Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ozamis City, Philippines: Misamis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ardmore, OK: Ardmore Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Quito, Ecuador: Old Mariscal Sucre International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Orlando, FL: Walt Disney World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Parintins, Brazil: Parintins Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Imperial, NE: Imperial Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Porto, Portugal: Porto Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alicante, Spain: Alicante Elche,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patuxent River, MD: Patuxent River NAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guernsey, United Kingdom: Guernsey Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wanganui, New Zealand: Whanganui,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Centralia, IL: Centralia Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Udon Thani, Thailand: Udon Thani Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kodiak Island, AK: Trident Basin Seaplane Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trujillo, Peru: Capitan Carlos Martinez de Pinillos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
South Naknek, AK: Peter Pan Seafoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gillam, Canada: Gillam Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Junction, TX: Kimble County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mende, France: Mende Brenoux,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Somerville, NJ: Somerset,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Meyers Chuck, AK: Meyers Chuck Seaplane Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hallock, MN: Hallock Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Komsomolsk-na-Amure, Russia: Komsomolsk South,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christchurch, New Zealand: Christchurch International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheboygan, WI: Sheboygan County Memorial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pulaski, TN: Abernathy Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,82521.0,7504252.249999998,79637.0,6808299.8599999985,70020.0,5410216.999999994,95035.0,7593843.929999999,256837.0,23287684.040000003,234273.0,19968540.229999993,208279.0,16463466.959999995,248106.0,21040843.110000018,
Eagle River, WI: Eagle River Union,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Loeriesfontein, South Africa: Loeriesfontein Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hong Kong, Hong Kong: Kai Tak Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Condoto, Colombia: Mandinga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nyala, Sudan: Nyala Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Singora, Thailand: Songkhla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cross Lake, Canada: Cross Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Valladolid, Spain: Valladolid Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Samburu, Kenya: Samburu Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maraba, Brazil: Joao Correa Da Rocha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Butler, MO: Butler Memorial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Assiut, Egypt: Assiut Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trollhattan, Sweden: Trollhattan Vanersborg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Point Lay, AK: Point Lay LRRS,1.0,514.96,3.0,913.61,11.0,3795.0200000000004,4.0,1566.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sidi Ifni, Morocco: Sidi Ifni Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cancun, Mexico: Cancun International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guacamayas, Colombia: Guacamayas Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Umea, Sweden: Umea Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cedar Rapids/Iowa City, IA: The Eastern Iowa,7201.0,1072525.6,8598.0,1252029.4299999992,8063.0,1231046.010000001,8253.0,1285589.77,11655.0,2352178.7299999995,12664.0,2690605.770000001,12190.0,2500042.729999999,11776.0,2514054.1500000004,
Manistee/Ludington, MI: Manistee County-Blacker,35.0,6682.490000000001,32.0,5409.13,24.0,3846.5,9.0,1812.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Muttaburra, Australia: Muttaburra Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Samos, Greece: Samos Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Osan, South Korea: Osan AB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Manassas, VA: Manassas Regional/Harry P. Davis Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mink Island, Canada: Mink Island Water Aerodrome,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darlington, SC: Darlington County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Garden City, NY: Island Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jungwon, South Korea: Jungwon AB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Girardeau, MO: Cape Girardeau Regional,49.0,11367.630000000003,152.0,30581.659999999996,128.0,18348.470000000005,135.0,23821.83999999999,71.0,18776.379999999997,69.0,19770.19,81.0,25064.17,58.0,17203.14,
Pakokku, Burma: Pakhokku,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sana'a, Yemen: Sana'a International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hue, Vietnam: Phubai International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Broomfield, CO: Rocky Mountain Metro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Likiep Island, Marshall Islands: Likiep Island Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ipil, Philippines: Ipil Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Siem Reap, Cambodia: Siem Reap International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Grand Rapids, MN: Grand Rapids/Itasca County-Gordon Newstrom Field,114.0,21637.680000000004,175.0,38158.36,193.0,36313.70999999999,140.0,27416.23999999999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wilkesboro, NC: Wilkes County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Oran, Algeria: Tafaraoui,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fairbanks, AK: Ladd AAF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Richland, WA: Richland Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Siuna, Nicaragua: Siuna Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Dyer, Canada: Cape Dyer Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Muskegon, MI: Muskegon County,897.0,134053.78999999998,1066.0,170645.12000000002,1129.0,175744.25000000012,944.0,171037.57999999993,263.0,54975.09000000001,386.0,80768.64,489.0,116470.34,422.0,86527.33000000002,
Falls Church, VA: Washington-Virginia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Skelleftea, Sweden: Skelleftea Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fukue, Japan: Fukue Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Denton, TX: Denton Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Saga, Japan: Saga Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roxboro, NC: Person County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Smith Cove, AK: Smith Cove Airport,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Harrison, AR: Boone County,19.0,4160.49,43.0,9140.410000000002,43.0,9624.859999999999,26.0,6300.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Perito Moreno, Argentina: Perito Moreno Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larsen Bay, AK: Larsen Bay Airport,15.0,388.99,2.0,826.99,4.0,837.47,1.0,325.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rijeka, Croatia: Rijeka Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelowna, Canada: Kelowna Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gothenburg, Sweden: Gothenburg City,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
San Pedro Sula, Honduras: Ramon Villeda Morales International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Curuzu Cuatia, Argentina: Curuzu Cuatia Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arica, Chile: Chacalluta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Colorado Springs, CO: USAF Academy Airfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Las Vegas, NV: North Las Vegas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Macon, GA: Robins AFB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gothenburg, NE: Quinn Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Al Ain, United Arab Emirates: Al Ain International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
