1994,1821890.0,461.4083333333333
1995,1921478.0,483.6333333333335
1996,2100659.0,499.40833333333336
1997,2315161.0,523.95
1998,2456604.0,545.8916666666665
1999,2585685.0,569.5833333333334
2000,2725060.0,579.175
2001,2418613.0,571.0916666666666
2002,2351193.0,564.4666666666667
2003,2374377.0,563.4166666666667
2004,2564310.0,576.1666666666666
2005,2659008.0,594.975
2006,2645853.0,611.5916666666667
2007,2629593.0,614.8333333333334
2008,2540874.0,595.0083333333333
2009,2379655.0,565.025
2010,2444150.0,572.3833333333333
2011,2443358.0,581.7416666666667
2012,2514535.0,593.8249999999999
2013,2485148.0,612.4916666666669
2014,2553145.0,637.375
2015,2819114.0,656.4583333333334
